id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
300186456,1,First stage,Group A,2014-06-12,0,1,BRA,CRO,Brazil,Croatia,3,1,,,BRA,,,,,,Neo Química Arena,,,,
300186492,2,First stage,Group A,2014-06-13,0,1,MEX,CMR,Mexico,Cameroon,1,0,,,MEX,,,,,,Estadio das Dunas,,,,
300186510,3,First stage,Group B,2014-06-13,0,1,ESP,NED,Spain,Netherlands,1,5,,,NED,,,,,,Fonte Nova Arena,,,,
300186473,4,First stage,Group B,2014-06-13,0,1,CHI,AUS,Chile,Australia,3,1,,,CHI,,,,,,Arena Pantanal,,,,
300186471,5,First stage,Group C,2014-06-14,0,1,COL,GRE,Colombia,Greece,3,0,,,COL,,,,,,Estadio Mineirao,,,,
300186489,7,First stage,Group D,2014-06-14,0,1,URU,CRC,Uruguay,Costa Rica,1,3,,,CRC,,,,,,Estadio Castelao,,,,
300186513,8,First stage,Group D,2014-06-14,0,1,ENG,ITA,England,Italy,1,2,,,ITA,,,,,,Arena Amazonia,,,,
300186507,6,First stage,Group C,2014-06-15,0,1,CIV,JPN,Côte d'Ivoire,Japan,2,1,,,CIV,,,,,,Arena Pernambuco,,,,
300186494,9,First stage,Group E,2014-06-15,0,1,SUI,ECU,Switzerland,Ecuador,2,1,,,SUI,,,,,,Estádio Nacional Mané Garrincha,,,,
300186496,10,First stage,Group E,2014-06-15,0,1,FRA,HON,France,Honduras,3,0,,,FRA,,,,,,Estadio Beira-Rio,,,,
300186477,11,First stage,Group F,2014-06-15,0,1,ARG,BIH,Argentina,Bosnia and Herzegovina,2,1,,,ARG,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
300186475,13,First stage,Group G,2014-06-16,0,1,GER,POR,Germany,Portugal,4,0,,,GER,,,,,,Fonte Nova Arena,,,,
300186505,12,First stage,Group F,2014-06-16,0,1,IRN,NGA,IR Iran,Nigeria,0,0,,,,,,,,,Arena da Baixada,,,,
300186512,14,First stage,Group G,2014-06-16,0,1,GHA,USA,Ghana,USA,1,2,,,USA,,,,,,Estadio das Dunas,,,,
300186499,16,First stage,Group H,2014-06-17,0,1,RUS,KOR,Russia,Korea Republic,1,1,,,,,,,,,Arena Pantanal,,,,
300186479,15,First stage,Group H,2014-06-17,0,1,BEL,ALG,Belgium,Algeria,2,1,,,BEL,,,,,,Estadio Mineirao,,,,
300186509,17,First stage,Group A,2014-06-17,0,1,BRA,MEX,Brazil,Mexico,0,0,,,,,,,,,Estadio Castelao,,,,
300186478,20,First stage,Group B,2014-06-18,0,1,AUS,NED,Australia,Netherlands,2,3,,,NED,,,,,,Estadio Beira-Rio,,,,
300186498,19,First stage,Group B,2014-06-18,0,1,ESP,CHI,Spain,Chile,0,2,,,CHI,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
300186453,18,First stage,Group A,2014-06-18,0,1,CMR,CRO,Cameroon,Croatia,0,4,,,CRO,,,,,,Arena Amazonia,,,,
300186468,21,First stage,Group C,2014-06-19,0,1,COL,CIV,Colombia,Côte d'Ivoire,2,1,,,COL,,,,,,Estádio Nacional Mané Garrincha,,,,
300186486,23,First stage,Group D,2014-06-19,0,1,URU,ENG,Uruguay,England,2,1,,,URU,,,,,,Neo Química Arena,,,,
300186454,22,First stage,Group C,2014-06-19,0,1,JPN,GRE,Japan,Greece,0,0,,,,,,,,,Estadio das Dunas,,,,
300186500,24,First stage,Group D,2014-06-20,0,1,ITA,CRC,Italy,Costa Rica,0,1,,,CRC,,,,,,Arena Pernambuco,,,,
300186514,25,First stage,Group E,2014-06-20,0,1,SUI,FRA,Switzerland,France,2,5,,,FRA,,,,,,Fonte Nova Arena,,,,
300186463,26,First stage,Group E,2014-06-20,0,1,HON,ECU,Honduras,Ecuador,1,2,,,ECU,,,,,,Arena da Baixada,,,,
300186511,28,First stage,Group F,2014-06-21,0,1,NGA,BIH,Nigeria,Bosnia and Herzegovina,1,0,,,NGA,,,,,,Arena Pantanal,,,,
300186466,27,First stage,Group F,2014-06-21,0,1,ARG,IRN,Argentina,IR Iran,1,0,,,ARG,,,,,,Estadio Mineirao,,,,
300186493,29,First stage,Group G,2014-06-21,0,1,GER,GHA,Germany,Ghana,2,2,,,,,,,,,Estadio Castelao,,,,
300186495,32,First stage,Group H,2014-06-22,0,1,KOR,ALG,Korea Republic,Algeria,2,4,,,ALG,,,,,,Estadio Beira-Rio,,,,
300186483,30,First stage,Group G,2014-06-22,0,1,USA,POR,USA,Portugal,2,2,,,,,,,,,Arena Amazonia,,,,
300186481,31,First stage,Group H,2014-06-22,0,1,BEL,RUS,Belgium,Russia,1,0,,,BEL,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
300186470,36,First stage,Group B,2014-06-23,0,1,NED,CHI,Netherlands,Chile,2,0,,,NED,,,,,,Neo Química Arena,,,,
300186467,35,First stage,Group B,2014-06-23,0,1,AUS,ESP,Australia,Spain,0,3,,,ESP,,,,,,Arena da Baixada,,,,
300186452,34,First stage,Group A,2014-06-23,0,1,CRO,MEX,Croatia,Mexico,1,3,,,MEX,,,,,,Arena Pernambuco,,,,
300186472,33,First stage,Group A,2014-06-23,0,1,CMR,BRA,Cameroon,Brazil,1,4,,,BRA,,,,,,Estádio Nacional Mané Garrincha,,,,
300186484,40,First stage,Group D,2014-06-24,0,1,CRC,ENG,Costa Rica,England,0,0,,,,,,,,,Estadio Mineirao,,,,
300186465,39,First stage,Group D,2014-06-24,0,1,ITA,URU,Italy,Uruguay,0,1,,,URU,,,,,,Estadio das Dunas,,,,
300186457,37,First stage,Group C,2014-06-24,0,1,JPN,COL,Japan,Colombia,1,4,,,COL,,,,,,Arena Pantanal,,,,
