id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
400021443,1,First Stage,Group A,MEX,RSA,2026-06-11,19:00,2026-06-11,13:00
400021441,2,First Stage,Group A,KOR,CZE,2026-06-12,02:00,2026-06-11,20:00
400021449,3,First Stage,Group B,CAN,BIH,2026-06-12,19:00,2026-06-12,15:00
400021458,4,First Stage,Group D,USA,PAR,2026-06-13,01:00,2026-06-12,18:00
400021447,8,First Stage,Group B,QAT,SUI,2026-06-13,19:00,2026-06-13,12:00
400021456,7,First Stage,Group C,BRA,MAR,2026-06-13,22:00,2026-06-13,18:00
400021453,5,First Stage,Group C,HAI,SCO,2026-06-14,01:00,2026-06-13,21:00
400021463,6,First Stage,Group D,AUS,TUR,2026-06-14,04:00,2026-06-13,21:00
400021464,10,First Stage,Group E,GER,CUW,2026-06-14,17:00,2026-06-14,12:00
400021470,11,First Stage,Group F,NED,JPN,2026-06-14,20:00,2026-06-14,15:00
400021467,9,First Stage,Group E,CIV,ECU,2026-06-14,23:00,2026-06-14,19:00
400021486,13,First Stage,Group H,KSA,URU,2026-06-15,22:00,2026-06-15,18:00
400021478,16,First Stage,Group G,BEL,EGY,2026-06-15,19:00,2026-06-15,12:00
400021482,14,First Stage,Group H,ESP,CPV,2026-06-15,16:00,2026-06-15,12:00
400021474,12,First Stage,Group F,SWE,TUN,2026-06-15,02:00,2026-06-14,20:00
400021476,15,First Stage,Group G,IRN,NZL,2026-06-16,01:00,2026-06-15,18:00
400021490,17,First Stage,Group I,FRA,SEN,2026-06-16,19:00,2026-06-16,15:00
400021488,18,First Stage,Group I,IRQ,NOR,2026-06-16,22:00,2026-06-16,18:00
400021496,19,First Stage,Group J,ARG,ALG,2026-06-17,01:00,2026-06-16,20:00
400021498,20,First Stage,Group J,AUT,JOR,2026-06-17,04:00,2026-06-16,21:00
400021502,23,First Stage,Group K,POR,COD,2026-06-17,17:00,2026-06-17,12:00
400021507,22,First Stage,Group L,ENG,CRO,2026-06-17,20:00,2026-06-17,15:00
400021510,21,First Stage,Group L,GHA,PAN,2026-06-17,23:00,2026-06-17,19:00
400021450,27,First Stage,Group B,CAN,QAT,2026-06-18,22:00,2026-06-18,15:00
400021446,26,First Stage,Group B,SUI,BIH,2026-06-18,19:00,2026-06-18,12:00
400021440,25,First Stage,Group A,CZE,RSA,2026-06-18,16:00,2026-06-18,12:00
400021504,24,First Stage,Group K,UZB,COL,2026-06-18,02:00,2026-06-17,20:00
400021442,28,First Stage,Group A,MEX,KOR,2026-06-19,01:00,2026-06-18,19:00
400021462,32,First Stage,Group D,USA,AUS,2026-06-19,19:00,2026-06-19,12:00
400021454,30,First Stage,Group C,SCO,MAR,2026-06-19,22:00,2026-06-19,18:00
400021457,29,First Stage,Group C,BRA,HAI,2026-06-20,00:30,2026-06-19,20:30
400021460,31,First Stage,Group D,TUR,PAR,2026-06-20,03:00,2026-06-19,20:00
400021472,35,First Stage,Group F,NED,SWE,2026-06-20,17:00,2026-06-20,12:00
400021469,33,First Stage,Group E,GER,CIV,2026-06-20,20:00,2026-06-20,16:00
400021487,37,First Stage,Group H,URU,CPV,2026-06-21,22:00,2026-06-21,18:00
400021483,38,First Stage,Group H,ESP,KSA,2026-06-21,16:00,2026-06-21,12:00
400021477,39,First Stage,Group G,BEL,IRN,2026-06-21,19:00,2026-06-21,12:00
400021465,34,First Stage,Group E,ECU,CUW,2026-06-21,00:00,2026-06-20,19:00
400021475,36,First Stage,Group F,TUN,JPN,2026-06-21,04:00,2026-06-20,22:00
400021480,40,First Stage,Group G,NZL,EGY,2026-06-22,01:00,2026-06-21,18:00
400021494,43,First Stage,Group J,ARG,AUT,2026-06-22,17:00,2026-06-22,12:00
400021492,42,First Stage,Group I,FRA,IRQ,2026-06-22,21:00,2026-06-22,17:00
400021491,41,First Stage,Group I,NOR,SEN,2026-06-23,00:00,2026-06-22,20:00
400021499,44,First Stage,Group J,JOR,ALG,2026-06-23,03:00,2026-06-22,20:00
400021503,47,First Stage,Group K,POR,UZB,2026-06-23,17:00,2026-06-23,12:00
400021506,45,First Stage,Group L,ENG,GHA,2026-06-23,20:00,2026-06-23,16:00
400021511,46,First Stage,Group L,PAN,CRO,2026-06-23,23:00,2026-06-23,19:00
400021452,50,First Stage,Group C,MAR,HAI,2026-06-24,22:00,2026-06-24,18:00
400021451,51,First Stage,Group B,SUI,CAN,2026-06-24,19:00,2026-06-24,12:00
400021455,49,First Stage,Group C,SCO,BRA,2026-06-24,22:00,2026-06-24,18:00
400021501,48,First Stage,Group K,COL,COD,2026-06-24,02:00,2026-06-23,20:00
400021448,52,First Stage,Group B,BIH,QAT,2026-06-24,19:00,2026-06-24,12:00
400021445,54,First Stage,Group A,RSA,KOR,2026-06-25,01:00,2026-06-24,19:00
400021444,53,First Stage,Group A,CZE,MEX,2026-06-25,01:00,2026-06-24,19:00
400021468,55,First Stage,Group E,CUW,CIV,2026-06-25,20:00,2026-06-25,16:00
400021466,56,First Stage,Group E,ECU,GER,2026-06-25,20:00,2026-06-25,16:00
400021473,58,First Stage,Group F,TUN,NED,2026-06-25,23:00,2026-06-25,18:00
400021471,57,First Stage,Group F,JPN,SWE,2026-06-25,23:00,2026-06-25,18:00
400021461,60,First Stage,Group D,PAR,AUS,2026-06-26,02:00,2026-06-25,19:00
400021459,59,First Stage,Group D,TUR,USA,2026-06-26,02:00,2026-06-25,19:00
400021493,62,First Stage,Group I,SEN,IRQ,2026-06-26,19:00,2026-06-26,15:00
400021489,61,First Stage,Group I,NOR,FRA,2026-06-26,19:00,2026-06-26,15:00
400021505,71,First Stage,Group K,COL,POR,2026-06-27,23:30,2026-06-27,19:30
400021500,72,First Stage,Group K,COD,UZB,2026-06-27,23:30,2026-06-27,19:30
400021509,68,First Stage,Group L,CRO,GHA,2026-06-27,21:00,2026-06-27,17:00
400021508,67,First Stage,Group L,PAN,ENG,2026-06-27,21:00,2026-06-27,17:00
400021485,65,First Stage,Group H,CPV,KSA,2026-06-27,00:00,2026-06-26,19:00
400021481,64,First Stage,Group G,NZL,BEL,2026-06-27,03:00,2026-06-26,20:00
400021479,63,First Stage,Group G,EGY,IRN,2026-06-27,03:00,2026-06-26,20:00
400021484,66,First Stage,Group H,URU,ESP,2026-06-27,00:00,2026-06-26,18:00
400021497,69,First Stage,Group J,ALG,AUT,2026-06-28,02:00,2026-06-27,21:00
400021495,70,First Stage,Group J,JOR,ARG,2026-06-28,02:00,2026-06-27,21:00
400021518,73,Round of 32,,,,2026-06-28,19:00,2026-06-28,12:00
