id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
26,1,Group Matches,Group B,1990-06-08,0,1,ARG,CMR,Argentina,Cameroon,0,1,,,CMR,,,,,,Stadio Giuseppe Meazza,,,,
119,4,Group Matches,Group D,1990-06-09,0,1,UAE,COL,United Arab Emirates,Colombia,0,2,,,COL,,,,,,Stadio Renato Dall'Ara,,,,
342,2,Group Matches,Group B,1990-06-09,0,1,URS,ROU,Soviet Union,Romania,0,2,,,ROU,,,,,,Stadio San Nicola,,,,
42,3,Group Matches,Group A,1990-06-09,0,1,ITA,AUT,Italy,Austria,1,0,,,ITA,,,,,,Stadio Olimpico,,,,
355,5,Group Matches,Group A,1990-06-10,0,1,USA,TCH,USA,Czechoslovakia,1,5,,,TCH,,,,,,Comunale,,,,
201,7,Group Matches,Group D,1990-06-10,0,1,FRG,YUG,Germany FR,Yugoslavia,4,1,,,FRG,,,,,,Stadio Giuseppe Meazza,,,,
75,6,Group Matches,Group C,1990-06-10,0,1,BRA,SWE,Brazil,Sweden,2,1,,,BRA,,,,,,Allianz Stadium,,,,
127,8,Group Matches,Group C,1990-06-11,0,1,CRC,SCO,Costa Rica,Scotland,1,0,,,CRC,,,,,,Estadio Luigi Ferraris,,,,
161,9,Group Matches,Group F,1990-06-11,0,1,ENG,IRL,England,Republic of Ireland,1,1,,,,,,,,,Sant Elia,,,,
57,10,Group Matches,Group E,1990-06-12,0,1,BEL,KOR,Belgium,Korea Republic,2,0,,,BEL,,,,,,Marc Antonio Bentegodi,,,,
151,11,Group Matches,Group F,1990-06-12,0,1,NED,EGY,Netherlands,Egypt,1,1,,,,,,,,,Della Favorita,,,,
30,13,Group Matches,Group B,1990-06-13,0,1,ARG,URS,Argentina,Soviet Union,2,0,,,ARG,,,,,,Stadio San Paolo,,,,
180,12,Group Matches,Group E,1990-06-13,0,1,URU,ESP,Uruguay,Spain,0,0,,,,,,,,,Stadio Friuli,,,,
120,14,Group Matches,Group D,1990-06-14,0,1,YUG,COL,Yugoslavia,Colombia,1,0,,,YUG,,,,,,Stadio Renato Dall'Ara,,,,
108,16,Group Matches,Group B,1990-06-14,0,1,CMR,ROU,Cameroon,Romania,2,1,,,CMR,,,,,,Stadio San Nicola,,,,
265,15,Group Matches,Group A,1990-06-14,0,1,ITA,USA,Italy,USA,1,0,,,ITA,,,,,,Stadio Olimpico,,,,
43,17,Group Matches,Group A,1990-06-15,0,1,AUT,TCH,Austria,Czechoslovakia,0,1,,,TCH,,,,,,Comunale,,,,
198,18,Group Matches,Group D,1990-06-15,0,1,FRG,UAE,Germany FR,United Arab Emirates,5,1,,,FRG,,,,,,Stadio Giuseppe Meazza,,,,
73,19,Group Matches,Group C,1990-06-16,0,1,BRA,CRC,Brazil,Costa Rica,1,0,,,BRA,,,,,,Allianz Stadium,,,,
348,20,Group Matches,Group C,1990-06-16,0,1,SWE,SCO,Sweden,Scotland,1,2,,,SCO,,,,,,Estadio Luigi Ferraris,,,,
160,21,Group Matches,Group F,1990-06-16,0,1,ENG,NED,England,Netherlands,0,0,,,,,,,,,Sant Elia,,,,
152,22,Group Matches,Group F,1990-06-17,0,1,IRL,EGY,Republic of Ireland,Egypt,0,0,,,,,,,,,Della Favorita,,,,
66,23,Group Matches,Group E,1990-06-17,0,1,BEL,URU,Belgium,Uruguay,3,1,,,BEL,,,,,,Marc Antonio Bentegodi,,,,
175,24,Group Matches,Group E,1990-06-17,0,1,KOR,ESP,Korea Republic,Spain,1,3,,,ESP,,,,,,Stadio Friuli,,,,
29,25,Group Matches,Group B,1990-06-18,0,1,ARG,ROU,Argentina,Romania,1,1,,,,,,,,,Stadio San Paolo,,,,
111,26,Group Matches,Group B,1990-06-18,0,1,CMR,URS,Cameroon,Soviet Union,0,4,,,URS,,,,,,Stadio San Nicola,,,,
114,27,Group Matches,Group D,1990-06-19,0,1,FRG,COL,Germany FR,Colombia,1,1,,,,,,,,,Stadio Giuseppe Meazza,,,,
364,28,Group Matches,Group D,1990-06-19,0,1,YUG,UAE,Yugoslavia,United Arab Emirates,4,1,,,YUG,,,,,,Stadio Renato Dall'Ara,,,,
48,30,Group Matches,Group A,1990-06-19,0,1,AUT,USA,Austria,USA,2,1,,,AUT,,,,,,Comunale,,,,
263,29,Group Matches,Group A,1990-06-19,0,1,ITA,TCH,Italy,Czechoslovakia,2,0,,,ITA,,,,,,Stadio Olimpico,,,,
128,32,Group Matches,Group C,1990-06-20,0,1,SWE,CRC,Sweden,Costa Rica,1,2,,,CRC,,,,,,Estadio Luigi Ferraris,,,,
74,31,Group Matches,Group C,1990-06-20,0,1,BRA,SCO,Brazil,Scotland,1,0,,,BRA,,,,,,Allianz Stadium,,,,
