id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
400021443,1,First Stage,Group A,2026-06-11,0,1,MEX,RSA,Mexico,South Africa,2.0,0.0,,,MEX,4-1-2-3,5-3-2,,,80824,Mexico City Stadium,,,,
400021441,2,First Stage,Group A,2026-06-12,0,1,KOR,CZE,Korea Republic,Czechia,2.0,1.0,,,KOR,3-4-3,5-2-3,,,44985,Guadalajara Stadium,,,,
400021449,3,First Stage,Group B,2026-06-12,0,1,CAN,BIH,Canada,Bosnia and Herzegovina,1.0,1.0,,,,4-4-2,4-4-2,,,43002,Toronto Stadium,,,,
400021458,4,First Stage,Group D,2026-06-13,0,1,USA,PAR,USA,Paraguay,4.0,1.0,,,USA,4-2-3-1,4-4-2,,,70492,Los Angeles Stadium,,,,
400021447,8,First Stage,Group B,2026-06-13,0,1,QAT,SUI,Qatar,Switzerland,1.0,1.0,,,,4-2-3-1,4-3-3,,,67966,San Francisco Bay Area Stadium,,,,
400021456,7,First Stage,Group C,2026-06-13,0,1,BRA,MAR,Brazil,Morocco,1.0,1.0,,,,4-4-2,4-2-3-1,,,80663,New York/New Jersey Stadium,,,,
400021453,5,First Stage,Group C,2026-06-14,0,1,HAI,SCO,Haiti,Scotland,0.0,1.0,,,SCO,4-4-2,4-4-2,,,64146,Boston Stadium,,,,
400021463,6,First Stage,Group D,2026-06-14,0,1,AUS,TUR,Australia,Türkiye,2.0,0.0,,,AUS,5-4-1,4-2-3-1,,,52497,BC Place Vancouver,,,,
400021464,10,First Stage,Group E,2026-06-14,0,1,GER,CUW,Germany,Curaçao,7.0,1.0,,,GER,3-4-3,4-1-2-3,,,68021,Houston Stadium,,,,
400021470,11,First Stage,Group F,2026-06-14,0,1,NED,JPN,Netherlands,Japan,2.0,2.0,,,,4-1-2-3,3-4-3,,,69285,Dallas Stadium,,,,
