id_team,confederation,team_name,short_name,abbreviation,country_code,foundation_year,flag_url
43843,CAF,Algeria,Algeria,ALG,ALG,1962,https://api.fifa.com/api/v3/picture/flags-sq-4/ALG
43922,CONMEBOL,Argentina,Argentina,ARG,ARG,1893,https://api.fifa.com/api/v3/picture/flags-sq-4/ARG
43976,AFC,Australia,Australia,AUS,AUS,1961,https://api.fifa.com/api/v3/picture/flags-sq-4/AUS
43934,UEFA,Austria,Austria,AUT,AUT,1904,https://api.fifa.com/api/v3/picture/flags-sq-4/AUT
43935,UEFA,Belgium,Belgium,BEL,BEL,1895,https://api.fifa.com/api/v3/picture/flags-sq-4/BEL
44037,UEFA,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,BIH,1992,https://api.fifa.com/api/v3/picture/flags-sq-4/BIH
43924,CONMEBOL,Brazil,Brazil,BRA,BRA,1914,https://api.fifa.com/api/v3/picture/flags-sq-4/BRA
43850,CAF,Cabo Verde,Cabo Verde,CPV,CPV,1982,https://api.fifa.com/api/v3/picture/flags-sq-4/CPV
43899,CONCACAF,Canada,Canada,CAN,CAN,1912,https://api.fifa.com/api/v3/picture/flags-sq-4/CAN
43926,CONMEBOL,Colombia,Colombia,COL,COL,1924,https://api.fifa.com/api/v3/picture/flags-sq-4/COL
20014,CAF,Congo DR,Congo DR,COD,COD,1919,https://api.fifa.com/api/v3/picture/flags-sq-4/COD
43938,UEFA,Croatia,Croatia,CRO,CRO,1912,https://api.fifa.com/api/v3/picture/flags-sq-4/CRO
1895293,CONCACAF,Curaçao,Curaçao,CUW,CUW,1921,https://api.fifa.com/api/v3/picture/flags-sq-4/CUW
43995,UEFA,Czechia,Czechia,CZE,CZE,1901,https://api.fifa.com/api/v3/picture/flags-sq-4/CZE
43854,CAF,Côte d'Ivoire,Côte d'Ivoire,CIV,CIV,1960,https://api.fifa.com/api/v3/picture/flags-sq-4/CIV
43927,CONMEBOL,Ecuador,Ecuador,ECU,ECU,1925,https://api.fifa.com/api/v3/picture/flags-sq-4/ECU
43855,CAF,Egypt,Egypt,EGY,EGY,1921,https://api.fifa.com/api/v3/picture/flags-sq-4/EGY
43942,UEFA,England,England,ENG,ENG,1863,https://api.fifa.com/api/v3/picture/flags-sq-4/ENG
