id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
749,1,Group Matches,Group 3,ARG,BEL,1982-06-13,18:00,1982-06-13,20:00
995,2,Group Matches,Group 1,ITA,POL,1982-06-14,15:15,1982-06-14,17:15
791,3,Group Matches,Group 6,BRA,URS,1982-06-14,19:00,1982-06-14,21:00
833,4,Group Matches,Group 1,PER,CMR,1982-06-15,15:15,1982-06-15,17:15
896,5,Group Matches,Group 3,HUN,SLV,1982-06-15,19:00,1982-06-15,21:00
1051,6,Group Matches,Group 6,SCO,NZL,1982-06-15,19:00,1982-06-15,21:00
878,8,Group Matches,Group 4,ENG,FRA,1982-06-16,15:15,1982-06-16,17:15
741,7,Group Matches,Group 2,FRG,ALG,1982-06-16,15:15,1982-06-16,17:15
901,9,Group Matches,Group 5,ESP,HON,1982-06-16,19:00,1982-06-16,21:00
764,10,Group Matches,Group 2,CHI,AUT,1982-06-17,15:15,1982-06-17,17:15
1012,11,Group Matches,Group 4,TCH,KUW,1982-06-17,15:45,1982-06-17,17:45
1044,12,Group Matches,Group 5,YUG,NIR,1982-06-17,19:00,1982-06-17,21:00
790,15,Group Matches,Group 6,BRA,SCO,1982-06-18,19:00,1982-06-18,21:00
994,13,Group Matches,Group 1,ITA,PER,1982-06-18,15:15,1982-06-18,17:15
752,14,Group Matches,Group 3,ARG,HUN,1982-06-18,19:00,1982-06-18,21:00
834,16,Group Matches,Group 1,POL,CMR,1982-06-19,17:15,1982-06-19,19:15
1054,18,Group Matches,Group 6,URS,NZL,1982-06-19,19:00,1982-06-19,21:00
774,17,Group Matches,Group 3,BEL,SLV,1982-06-19,19:00,1982-06-19,21:00
813,19,Group Matches,Group 2,FRG,CHI,1982-06-20,15:15,1982-06-20,17:15
889,20,Group Matches,Group 4,ENG,TCH,1982-06-20,15:15,1982-06-20,17:15
903,21,Group Matches,Group 5,ESP,YUG,1982-06-20,19:00,1982-06-20,21:00
959,24,Group Matches,Group 5,HON,NIR,1982-06-21,19:00,1982-06-21,21:00
919,23,Group Matches,Group 4,FRA,KUW,1982-06-21,15:15,1982-06-21,17:15
739,22,Group Matches,Group 2,ALG,AUT,1982-06-21,15:15,1982-06-21,17:15
1071,27,Group Matches,Group 6,URS,SCO,1982-06-22,19:00,1982-06-22,21:00
779,26,Group Matches,Group 3,BEL,HUN,1982-06-22,19:00,1982-06-22,21:00
1055,25,Group Matches,Group 1,POL,PER,1982-06-22,15:15,1982-06-22,17:15
828,28,Group Matches,Group 1,ITA,CMR,1982-06-23,15:15,1982-06-23,17:15
789,30,Group Matches,Group 6,BRA,NZL,1982-06-23,19:00,1982-06-23,21:00
751,29,Group Matches,Group 3,ARG,SLV,1982-06-23,19:00,1982-06-23,21:00
922,32,Group Matches,Group 4,FRA,TCH,1982-06-24,15:15,1982-06-24,17:15
740,31,Group Matches,Group 2,ALG,CHI,1982-06-24,15:15,1982-06-24,17:15
962,33,Group Matches,Group 5,HON,YUG,1982-06-24,19:00,1982-06-24,21:00
882,35,Group Matches,Group 4,ENG,KUW,1982-06-25,15:15,1982-06-25,17:15
770,34,Group Matches,Group 2,FRG,AUT,1982-06-25,15:15,1982-06-25,17:15
902,36,Group Matches,Group 5,NIR,ESP,1982-06-25,19:00,1982-06-25,21:00
767,37,Second Round,Group D,AUT,FRA,1982-06-28,15:15,1982-06-28,17:15
782,38,Second Round,Group A,POL,BEL,1982-06-28,19:00,1982-06-28,21:00
879,40,Second Round,Group B,FRG,ENG,1982-06-29,19:00,1982-06-29,21:00
753,39,Second Round,Group C,ITA,ARG,1982-06-29,15:15,1982-06-29,17:15
771,41,Second Round,Group D,AUT,NIR,1982-07-01,15:15,1982-07-01,17:15
783,42,Second Round,Group A,BEL,URS,1982-07-01,19:00,1982-07-01,21:00
750,43,Second Round,Group C,ARG,BRA,1982-07-02,15:15,1982-07-02,17:15
900,44,Second Round,Group B,FRG,ESP,1982-07-02,19:00,1982-07-02,21:00
920,45,Second Round,Group D,FRA,NIR,1982-07-04,15:15,1982-07-04,17:15
1058,46,Second Round,Group A,POL,URS,1982-07-04,19:00,1982-07-04,21:00
788,47,Second Round,Group C,ITA,BRA,1982-07-05,15:15,1982-07-05,17:15
877,48,Second Round,Group B,ESP,ENG,1982-07-05,19:00,1982-07-05,21:00
996,49,Semi-final,,POL,ITA,1982-07-08,15:15,1982-07-08,17:15
914,50,Semi-final,,FRG,FRA,1982-07-08,19:00,1982-07-08,21:00
921,51,Match for third place,,POL,FRA,1982-07-10,18:00,1982-07-10,20:00
923,52,Final,,ITA,FRG,1982-07-11,18:00,1982-07-11,20:00
