id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1636,1,Group Matches,Group 1,1966-07-11,0,1,ENG,URU,England,Uruguay,0,0,,,,,,,,,Wembley Stadium,,,,
1656,2,Group Matches,Group 2,1966-07-12,0,1,FRG,SUI,Germany FR,Switzerland,5,0,,,FRG,,,,,,Hillsborough,,,,
1596,3,Group Matches,Group 3,1966-07-12,0,1,BRA,BUL,Brazil,Bulgaria,2,0,,,BRA,,,,,,Goodison Park,,,,
1710,4,Group Matches,Group 4,1966-07-12,0,1,URS,PRK,Soviet Union,Korea DPR,3,0,,,URS,,,,,,Ayresome Park,,,,
1578,6,Group Matches,Group 2,1966-07-13,0,1,ARG,ESP,Argentina,Spain,2,1,,,ARG,,,,,,Villa Park,,,,
1650,5,Group Matches,Group 1,1966-07-13,0,1,FRA,MEX,France,Mexico,1,1,,,,,,,,,Wembley Stadium,,,,
1675,7,Group Matches,Group 3,1966-07-13,0,1,POR,HUN,Portugal,Hungary,3,1,,,POR,,,,,,Old Trafford Stadium,,,,
1608,8,Group Matches,Group 4,1966-07-13,0,1,ITA,CHI,Italy,Chile,2,0,,,ITA,,,,,,Roker Park Ground,,,,
1641,10,Group Matches,Group 2,1966-07-15,0,1,ESP,SUI,Spain,Switzerland,2,1,,,ESP,,,,,,Hillsborough,,,,
1597,11,Group Matches,Group 3,1966-07-15,0,1,HUN,BRA,Hungary,Brazil,3,1,,,HUN,,,,,,Goodison Park,,,,
1653,9,Group Matches,Group 1,1966-07-15,0,1,URU,FRA,Uruguay,France,2,1,,,URU,,,,,,White City,,,,
1609,12,Group Matches,Group 4,1966-07-15,0,1,PRK,CHI,Korea DPR,Chile,1,1,,,,,,,,,Ayresome Park,,,,
1602,15,Group Matches,Group 3,1966-07-16,0,1,POR,BUL,Portugal,Bulgaria,3,0,,,POR,,,,,,Old Trafford Stadium,,,,
1634,13,Group Matches,Group 1,1966-07-16,0,1,ENG,MEX,England,Mexico,2,0,,,ENG,,,,,,Wembley Stadium,,,,
1579,14,Group Matches,Group 2,1966-07-16,0,1,FRG,ARG,Germany FR,Argentina,0,0,,,,,,,,,Villa Park,,,,
1682,16,Group Matches,Group 4,1966-07-16,0,1,URS,ITA,Soviet Union,Italy,1,0,,,URS,,,,,,Roker Park Ground,,,,
1689,17,Group Matches,Group 1,1966-07-19,0,1,URU,MEX,Uruguay,Mexico,0,0,,,,,,,,,Wembley Stadium,,,,
1582,18,Group Matches,Group 2,1966-07-19,0,1,ARG,SUI,Argentina,Switzerland,2,0,,,ARG,,,,,,Hillsborough,,,,
1598,19,Group Matches,Group 3,1966-07-19,0,1,POR,BRA,Portugal,Brazil,3,1,,,POR,,,,,,Goodison Park,,,,
1679,20,Group Matches,Group 4,1966-07-19,0,1,PRK,ITA,Korea DPR,Italy,1,0,,,PRK,,,,,,Ayresome Park,,,,
1599,23,Group Matches,Group 3,1966-07-20,0,1,HUN,BUL,Hungary,Bulgaria,3,1,,,HUN,,,,,,Old Trafford Stadium,,,,
1632,21,Group Matches,Group 1,1966-07-20,0,1,ENG,FRA,England,France,2,0,,,ENG,,,,,,Wembley Stadium,,,,
1637,22,Group Matches,Group 2,1966-07-20,0,1,FRG,ESP,Germany FR,Spain,2,1,,,FRG,,,,,,Villa Park,,,,
1610,24,Group Matches,Group 4,1966-07-20,0,1,URS,CHI,Soviet Union,Chile,2,1,,,URS,,,,,,Roker Park Ground,,,,
1676,27,Quarter-final,,1966-07-23,0,1,URS,HUN,Soviet Union,Hungary,2,1,,,URS,,,,,,Roker Park Ground,,,,
1702,28,Quarter-final,,1966-07-23,0,1,POR,PRK,Portugal,Korea DPR,5,3,,,POR,,,,,,Goodison Park,,,,
1660,26,Quarter-final,,1966-07-23,0,1,FRG,URU,Germany FR,Uruguay,4,0,,,FRG,,,,,,Hillsborough,,,,
1577,25,Quarter-final,,1966-07-23,0,1,ENG,ARG,England,Argentina,1,0,,,ENG,,,,,,Wembley Stadium,,,,
1659,29,Semi-final,,1966-07-25,0,1,FRG,URS,Germany FR,Soviet Union,2,1,,,FRG,,,,,,Goodison Park,,,,
1635,30,Semi-final,,1966-07-26,0,1,ENG,POR,England,Portugal,2,1,,,ENG,,,,,,Wembley Stadium,,,,
1709,31,Match for third place,,1966-07-28,0,1,POR,URS,Portugal,Soviet Union,2,1,,,POR,,,,,,Wembley Stadium,,,,
1633,32,Final,,1966-07-30,0,3,ENG,FRG,England,Germany FR,4,2,,,ENG,,,,,,Wembley Stadium,,,,
