id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1902,1,Group Matches,Group 1,1970-05-31,0,1,MEX,URS,Mexico,Soviet Union,0,0,,,,,,,,,Estadio Azteca,,,,
1881,2,Group Matches,Group 2,1970-06-02,0,1,URU,ISR,Uruguay,Israel,2,0,,,URU,,,,,,Estadio Cuauhtemoc,,,,
1812,3,Group Matches,Group 3,1970-06-02,0,1,ENG,ROU,England,Romania,1,0,,,ENG,,,,,,Estadio Jalisco,,,,
1780,4,Group Matches,Group 4,1970-06-02,0,1,PER,BUL,Peru,Bulgaria,3,2,,,PER,,,,,,Nou Camp - Estadio León,,,,
1770,7,Group Matches,Group 3,1970-06-03,0,1,BRA,TCH,Brazil,Czechoslovakia,4,1,,,BRA,,,,,,Estadio Jalisco,,,,
1747,5,Group Matches,Group 1,1970-06-03,0,1,BEL,SLV,Belgium,El Salvador,3,0,,,BEL,,,,,,Estadio Azteca,,,,
1883,6,Group Matches,Group 2,1970-06-03,0,1,ITA,SWE,Italy,Sweden,1,0,,,ITA,,,,,,Bombonera - Estadio Nemesio Diez,,,,
1839,8,Group Matches,Group 4,1970-06-03,0,1,FRG,MAR,Germany FR,Morocco,2,1,,,FRG,,,,,,Nou Camp - Estadio León,,,,
1893,12,Group Matches,Group 4,1970-06-06,0,1,PER,MAR,Peru,Morocco,3,0,,,PER,,,,,,Nou Camp - Estadio León,,,,
1919,11,Group Matches,Group 3,1970-06-06,0,1,ROU,TCH,Romania,Czechoslovakia,2,1,,,ROU,,,,,,Estadio Jalisco,,,,
1753,9,Group Matches,Group 1,1970-06-06,0,1,URS,BEL,Soviet Union,Belgium,4,1,,,URS,,,,,,Estadio Azteca,,,,
1884,10,Group Matches,Group 2,1970-06-06,0,1,URU,ITA,Uruguay,Italy,0,0,,,,,,,,,Estadio Cuauhtemoc,,,,
1820,13,Group Matches,Group 1,1970-06-07,0,1,MEX,SLV,Mexico,El Salvador,4,0,,,MEX,,,,,,Estadio Azteca,,,,
1774,16,Group Matches,Group 4,1970-06-07,0,1,FRG,BUL,Germany FR,Bulgaria,5,2,,,FRG,,,,,,Nou Camp - Estadio León,,,,
1764,15,Group Matches,Group 3,1970-06-07,0,1,BRA,ENG,Brazil,England,1,0,,,BRA,,,,,,Estadio Jalisco,,,,
1880,14,Group Matches,Group 2,1970-06-07,0,1,SWE,ISR,Sweden,Israel,1,1,,,,,,,,,Bombonera - Estadio Nemesio Diez,,,,
1823,17,Group Matches,Group 1,1970-06-10,0,1,URS,SLV,Soviet Union,El Salvador,2,0,,,URS,,,,,,Estadio Azteca,,,,
1922,18,Group Matches,Group 2,1970-06-10,0,1,SWE,URU,Sweden,Uruguay,1,0,,,SWE,,,,,,Estadio Cuauhtemoc,,,,
1840,20,Group Matches,Group 4,1970-06-10,0,1,FRG,PER,Germany FR,Peru,3,1,,,FRG,,,,,,Nou Camp - Estadio León,,,,
1769,19,Group Matches,Group 3,1970-06-10,0,1,BRA,ROU,Brazil,Romania,3,2,,,BRA,,,,,,Estadio Jalisco,,,,
1813,23,Group Matches,Group 3,1970-06-11,0,1,ENG,TCH,England,Czechoslovakia,1,0,,,ENG,,,,,,Estadio Jalisco,,,,
1877,22,Group Matches,Group 2,1970-06-11,0,1,ITA,ISR,Italy,Israel,0,0,,,,,,,,,Bombonera - Estadio Nemesio Diez,,,,
1752,21,Group Matches,Group 1,1970-06-11,0,1,MEX,BEL,Mexico,Belgium,1,0,,,MEX,,,,,,Estadio Azteca,,,,
1779,24,Group Matches,Group 4,1970-06-11,0,1,BUL,MAR,Bulgaria,Morocco,1,1,,,,,,,,,Nou Camp - Estadio León,,,,
1925,25,Quarter-final,,1970-06-14,0,3,URU,URS,Uruguay,Soviet Union,1,0,,,URU,,,,,,Estadio Azteca,,,,
1768,27,Quarter-final,,1970-06-14,0,1,BRA,PER,Brazil,Peru,4,2,,,BRA,,,,,,Estadio Jalisco,,,,
1811,28,Quarter-final,,1970-06-14,0,3,FRG,ENG,Germany FR,England,3,2,,,FRG,,,,,,Nou Camp - Estadio León,,,,
1882,26,Quarter-final,,1970-06-14,0,1,ITA,MEX,Italy,Mexico,4,1,,,ITA,,,,,,Bombonera - Estadio Nemesio Diez,,,,
1771,29,Semi-final,,1970-06-17,0,1,BRA,URU,Brazil,Uruguay,3,1,,,BRA,,,,,,Estadio Jalisco,,,,
1838,30,Semi-final,,1970-06-17,0,3,ITA,FRG,Italy,Germany FR,4,3,,,ITA,,,,,,Estadio Azteca,,,,
1843,31,Match for third place,,1970-06-20,0,1,FRG,URU,Germany FR,Uruguay,1,0,,,FRG,,,,,,Estadio Azteca,,,,
1765,32,Final,,1970-06-21,0,1,BRA,ITA,Brazil,Italy,4,1,,,BRA,,,,,,Estadio Azteca,,,,
