id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1902,1,Group Matches,Group 1,MEX,URS,1970-05-31,17:00,1970-05-31,12:00
1881,2,Group Matches,Group 2,URU,ISR,1970-06-02,21:00,1970-06-02,16:00
1812,3,Group Matches,Group 3,ENG,ROU,1970-06-02,21:00,1970-06-02,16:00
1780,4,Group Matches,Group 4,PER,BUL,1970-06-02,21:00,1970-06-02,16:00
1770,7,Group Matches,Group 3,BRA,TCH,1970-06-03,21:00,1970-06-03,16:00
1747,5,Group Matches,Group 1,BEL,SLV,1970-06-03,21:00,1970-06-03,16:00
1883,6,Group Matches,Group 2,ITA,SWE,1970-06-03,21:00,1970-06-03,16:00
1839,8,Group Matches,Group 4,FRG,MAR,1970-06-03,21:00,1970-06-03,16:00
1893,12,Group Matches,Group 4,PER,MAR,1970-06-06,21:00,1970-06-06,16:00
1919,11,Group Matches,Group 3,ROU,TCH,1970-06-06,21:00,1970-06-06,16:00
1753,9,Group Matches,Group 1,URS,BEL,1970-06-06,21:00,1970-06-06,16:00
1884,10,Group Matches,Group 2,URU,ITA,1970-06-06,21:00,1970-06-06,16:00
1820,13,Group Matches,Group 1,MEX,SLV,1970-06-07,17:00,1970-06-07,12:00
1774,16,Group Matches,Group 4,FRG,BUL,1970-06-07,17:00,1970-06-07,12:00
1764,15,Group Matches,Group 3,BRA,ENG,1970-06-07,17:00,1970-06-07,12:00
1880,14,Group Matches,Group 2,SWE,ISR,1970-06-07,17:00,1970-06-07,12:00
1823,17,Group Matches,Group 1,URS,SLV,1970-06-10,21:00,1970-06-10,16:00
1922,18,Group Matches,Group 2,SWE,URU,1970-06-10,21:00,1970-06-10,16:00
1840,20,Group Matches,Group 4,FRG,PER,1970-06-10,21:00,1970-06-10,16:00
1769,19,Group Matches,Group 3,BRA,ROU,1970-06-10,21:00,1970-06-10,16:00
1813,23,Group Matches,Group 3,ENG,TCH,1970-06-11,21:00,1970-06-11,16:00
1877,22,Group Matches,Group 2,ITA,ISR,1970-06-11,21:00,1970-06-11,16:00
1752,21,Group Matches,Group 1,MEX,BEL,1970-06-11,21:00,1970-06-11,16:00
1779,24,Group Matches,Group 4,BUL,MAR,1970-06-11,21:00,1970-06-11,16:00
1925,25,Quarter-final,,URU,URS,1970-06-14,17:00,1970-06-14,12:00
1768,27,Quarter-final,,BRA,PER,1970-06-14,17:00,1970-06-14,12:00
1811,28,Quarter-final,,FRG,ENG,1970-06-14,17:00,1970-06-14,12:00
1882,26,Quarter-final,,ITA,MEX,1970-06-14,17:00,1970-06-14,12:00
1771,29,Semi-final,,BRA,URU,1970-06-17,21:00,1970-06-17,16:00
1838,30,Semi-final,,ITA,FRG,1970-06-17,21:00,1970-06-17,16:00
1843,31,Match for third place,,FRG,URU,1970-06-20,21:00,1970-06-20,16:00
1765,32,Final,,BRA,ITA,1970-06-21,17:00,1970-06-21,12:00
