id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1165,1,1st Round,,SUI,GER,1938-06-04,15:00,1938-06-04,17:00
1173,2,1st Round,,HUN,INH,1938-06-05,15:00,1938-06-05,17:00
1146,3,1st Round,,FRA,BEL,1938-06-05,15:00,1938-06-05,17:00
1179,5,1st Round,,ITA,NOR,1938-06-05,15:00,1938-06-05,17:00
1156,4,1st Round,,CUB,ROU,1938-06-05,15:00,1938-06-05,17:00
1150,6,1st Round,,BRA,POL,1938-06-05,15:30,1938-06-05,17:30
1172,7,1st Round,,TCH,NED,1938-06-05,16:30,1938-06-05,18:30
1166,9,1st Round,,SUI,GER,1938-06-09,16:00,1938-06-09,18:00
1157,8,1st Round,,CUB,ROU,1938-06-09,16:00,1938-06-09,18:00
1175,11,Quarter-final,,HUN,SUI,1938-06-12,15:00,1938-06-12,17:00
1164,13,Quarter-final,,ITA,FRA,1938-06-12,15:00,1938-06-12,17:00
1152,10,Quarter-final,,BRA,TCH,1938-06-12,15:00,1938-06-12,17:00
1158,12,Quarter-final,,SWE,CUB,1938-06-12,15:00,1938-06-12,17:00
1153,14,Quarter-final,,BRA,TCH,1938-06-14,16:00,1938-06-14,18:00
1149,16,Semi-final,,ITA,BRA,1938-06-16,16:00,1938-06-16,18:00
1176,15,Semi-final,,HUN,SWE,1938-06-16,16:00,1938-06-16,18:00
1151,17,Match for third place,,BRA,SWE,1938-06-19,15:00,1938-06-19,17:00
1174,18,Final,,ITA,HUN,1938-06-19,15:00,1938-06-19,17:00
