id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1236,2.0,Group Matches,Group 3,1954-06-16,0,1,AUT,SCO,Austria,Scotland,1,0,,,AUT,,,,,,Hardturm,,,,
1249,3.0,Group Matches,Group 1,1954-06-16,0,1,BRA,MEX,Brazil,Mexico,5,0,,,BRA,,,,,,Charmilles,,,,
1276,4.0,Group Matches,Group 1,1954-06-16,0,1,YUG,FRA,Yugoslavia,France,1,0,,,YUG,,,,,,La Pontaise,,,,
1315,1.0,Group Matches,Group 3,1954-06-16,0,1,URU,TCH,Uruguay,Czechoslovakia,2,0,,,URU,,,,,,Stade de Suisse,,,,
1300,7.0,Group Matches,Group 4,1954-06-17,0,1,SUI,ITA,Switzerland,Italy,2,1,,,SUI,,,,,,La Pontaise,,,,
1294,8.0,Group Matches,Group 2,1954-06-17,0,1,HUN,KOR,Hungary,Korea Republic,9,0,,,HUN,,,,,,Hardturm,,,,
1283,5.0,Group Matches,Group 2,1954-06-17,0,1,FRG,TUR,Germany FR,Türkiye,4,1,,,FRG,,,,,,Stade de Suisse,,,,
1240,6.0,Group Matches,Group 4,1954-06-17,0,3,ENG,BEL,England,Belgium,4,4,,,,,,,,,St. Jakob-Park,,,,
1313,12.0,Group Matches,Group 3,1954-06-19,0,1,URU,SCO,Uruguay,Scotland,7,0,,,URU,,,,,,St. Jakob-Park,,,,
1252,10.0,Group Matches,Group 1,1954-06-19,0,3,BRA,YUG,Brazil,Yugoslavia,1,1,,,,,,,,,La Pontaise,,,,
1238,9.0,Group Matches,Group 3,1954-06-19,0,1,AUT,TCH,Austria,Czechoslovakia,5,0,,,AUT,,,,,,Hardturm,,,,
1275,11.0,Group Matches,Group 1,1954-06-19,0,1,FRA,MEX,France,Mexico,3,2,,,FRA,,,,,,Charmilles,,,,
1263,13.0,Group Matches,Group 4,1954-06-20,0,1,ENG,SUI,England,Switzerland,2,0,,,ENG,,,,,,Stade de Suisse,,,,
1243,16.0,Group Matches,Group 4,1954-06-20,0,1,ITA,BEL,Italy,Belgium,4,1,,,ITA,,,,,,Comunale di Cornaredo,,,,
1277,14.0,Group Matches,Group 2,1954-06-20,0,1,HUN,FRG,Hungary,Germany FR,8,3,,,HUN,,,,,,St. Jakob-Park,,,,
1304,15.0,Group Matches,Group 2,1954-06-20,0,1,TUR,KOR,Türkiye,Korea Republic,7,0,,,TUR,,,,,,Charmilles,,,,
1284,,Group Matches,Group 2,1954-06-23,0,1,FRG,TUR,Germany FR,Türkiye,7,2,,,FRG,,,,,,Hardturm,,,,
1301,,Group Matches,Group 4,1954-06-23,0,1,SUI,ITA,Switzerland,Italy,4,1,,,SUI,,,,,,St. Jakob-Park,,,,
1237,19.0,Quarter-final,,1954-06-26,0,1,AUT,SUI,Austria,Switzerland,7,5,,,AUT,,,,,,La Pontaise,,,,
1264,20.0,Quarter-final,,1954-06-26,0,1,URU,ENG,Uruguay,England,4,2,,,URU,,,,,,St. Jakob-Park,,,,
1285,17.0,Quarter-final,,1954-06-27,0,1,FRG,YUG,Germany FR,Yugoslavia,2,0,,,FRG,,,,,,Charmilles,,,,
1248,18.0,Quarter-final,,1954-06-27,0,1,HUN,BRA,Hungary,Brazil,4,2,,,HUN,,,,,,Stade de Suisse,,,,
1233,21.0,Semi-final,,1954-06-30,0,1,FRG,AUT,Germany FR,Austria,6,1,,,FRG,,,,,,St. Jakob-Park,,,,
1295,22.0,Semi-final,,1954-06-30,0,3,HUN,URU,Hungary,Uruguay,4,2,,,HUN,,,,,,La Pontaise,,,,
1239,23.0,Match for third place,,1954-07-03,0,1,AUT,URU,Austria,Uruguay,3,1,,,AUT,,,,,,Hardturm,,,,
1278,24.0,Final,,1954-07-04,0,1,FRG,HUN,Germany FR,Hungary,3,2,,,FRG,,,,,,Stade de Suisse,,,,
