player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
47314,Daniel Carnevali,0,1,,,ARG,43922,,1946-12-04,27.5,Goalkeeper,Argentina,ARG
174362,Ruben Ayala,3,2,,,ARG,43922,,1950-01-08,24.4,Striker,Argentina,ARG
174949,Carlos Babington,3,3,,,ARG,43922,,1949-09-20,24.7,Striker,Argentina,ARG
46121,Augustin Balbuena,3,4,,,ARG,43922,,1945-09-01,28.8,Striker,Argentina,ARG
46230,Angel Bargas,1,5,,,ARG,43922,,1946-10-29,27.6,Defender,Argentina,ARG
46956,Miguel Brindisi,2,6,,,ARG,43922,,1950-10-08,23.7,Midfielder,Argentina,ARG
47327,Jorge Carrascosa,1,7,,,ARG,43922,,1948-08-15,25.8,Defender,Argentina,ARG
47576,Enrique Chazarreta,2,8,,,ARG,43922,,1947-07-29,26.9,Midfielder,Argentina,ARG
49989,Ruben Glaria,1,9,,,ARG,43922,,1948-03-10,26.3,Defender,Argentina,ARG
50792,Ramon Heredia,1,10,,,ARG,43922,,1951-02-26,23.3,Defender,Argentina,ARG
174617,Rene Houseman,3,11,,,ARG,43922,,1953-07-19,20.9,Striker,Argentina,ARG
44105,Ubaldo Fillol,0,12,,,ARG,43922,,1950-07-21,23.9,Goalkeeper,Argentina,ARG
174658,Mario Kempes,3,13,,,ARG,43922,,1954-07-15,19.9,Striker,Argentina,ARG
174851,Roberto Perfumo,1,14,,,ARG,43922,,1942-10-03,31.7,Defender,Argentina,ARG
56423,Aldo Poy,3,15,,,ARG,43922,,1945-09-14,28.7,Striker,Argentina,ARG
69604,Francisco Sa,1,16,,,ARG,43922,,1945-10-25,28.6,Defender,Argentina,ARG
58354,Carlos Squeo,1,17,,,ARG,43922,,1948-06-04,26.0,Defender,Argentina,ARG
58842,Roberto Telch,2,18,,,ARG,43922,,1943-11-06,30.6,Midfielder,Argentina,ARG
69605,Nestor Togneri,1,19,,,ARG,43922,,1942-11-27,31.5,Defender,Argentina,ARG
60013,Enrique Wolff,1,20,,,ARG,43922,,1949-02-21,25.3,Defender,Argentina,ARG
57557,Miguel Santoro,0,21,,,ARG,43922,,1942-02-27,32.3,Goalkeeper,Argentina,ARG
60138,Hector Yazalde,3,22,,,ARG,43922,,1946-05-29,28.0,Striker,Argentina,ARG
56781,Jack Reilly,0,1,,,AUS,43976,,1943-08-27,30.8,Goalkeeper,Australia,AUS
59305,Doug Utjesenovic,1,2,,,AUS,43976,,1946-10-08,27.7,Defender,Australia,AUS
59978,Peter Wilson,1,3,,,AUS,43976,,1947-09-15,26.7,Defender,Australia,AUS
57661,Manfred Schaefer,1,4,,,AUS,43976,,1943-02-12,31.3,Defender,Australia,AUS
48123,Colin Curran,1,5,,,AUS,43976,,1947-08-21,26.8,Defender,Australia,AUS
56868,Ray Richards,2,6,,,AUS,43976,,1946-05-18,28.1,Midfielder,Australia,AUS
69577,Jimmy Rooney,2,7,,,AUS,43976,,1945-10-10,28.7,Midfielder,Australia,AUS
53360,Jimmy Mackay,2,8,,,AUS,43976,,1943-12-19,30.5,Midfielder,Australia,AUS
39113,John Warren,2,9,,,AUS,43976,,1943-05-17,31.1,Midfielder,Australia,AUS
53593,Gary Manuel,3,10,,,AUS,43976,,1950-02-20,24.3,Striker,Australia,AUS
44910,Attila Abonyi,3,11,,,AUS,43976,,1946-08-16,27.8,Striker,Australia,AUS
45467,Adrian Alston,3,12,,,AUS,43976,,1949-02-06,25.3,Striker,Australia,AUS
55542,Peter Ollerton,3,13,,,AUS,43976,,1951-05-20,23.1,Striker,Australia,AUS
181325,Max Tolson,2,14,,,AUS,43976,,1945-07-18,28.9,Midfielder,Australia,AUS
59958,Harry Williams,1,15,,,AUS,43976,,1951-05-07,23.1,Defender,Australia,AUS
69578,Ivo Rudic,1,16,,,AUS,43976,,1942-01-24,32.4,Defender,Australia,AUS
50602,Dave Harding,2,17,,,AUS,43976,,1946-08-14,27.8,Midfielder,Australia,AUS
59834,John Watkiss,1,18,,,AUS,43976,,1941-03-28,33.2,Defender,Australia,AUS
47234,Ernie Campbell,3,19,,,AUS,43976,,1949-10-20,24.6,Striker,Australia,AUS
47048,Branko Buljevic,3,20,,,AUS,43976,,1947-09-06,26.8,Striker,Australia,AUS
54241,Jimmy Milisavljevic,0,21,,,AUS,43976,,1951-04-15,23.2,Goalkeeper,Australia,AUS
53421,Allan Maher,0,22,,,AUS,43976,,1950-07-21,23.9,Goalkeeper,Australia,AUS
63902,Leao,0,1,,,BRA,43924,,1949-07-11,24.9,Goalkeeper,Brazil,BRA
63904,Luis Pereira,1,2,,,BRA,43924,,1949-06-21,25.0,Defender,Brazil,BRA
181330,Marinho Peres,1,3,,,BRA,43924,,1947-03-19,27.2,Defender,Brazil,BRA
181327,Ze Maria,1,4,,,BRA,43924,,1949-05-18,25.1,Defender,Brazil,BRA
181326,Wilson Piazza,1,5,,,BRA,43924,,1943-02-25,31.3,Defender,Brazil,BRA
44351,Marinho Chagas,1,6,,,BRA,43924,,1952-02-08,22.3,Defender,Brazil,BRA
63879,Jairzinho,3,7,,,BRA,43924,,1944-12-25,29.5,Striker,Brazil,BRA
63909,Leivinha,3,8,,,BRA,43924,,1949-09-11,24.8,Striker,Brazil,BRA
69579,Cesar,3,9,,,BRA,43924,,1945-05-17,29.1,Striker,Brazil,BRA
63896,Rivellino,2,10,,,BRA,43924,,1946-01-01,28.4,Midfielder,Brazil,BRA
63894,Paulo Cesar,2,11,,,BRA,43924,,1949-06-16,25.0,Midfielder,Brazil,BRA
181328,Renato,0,12,,,BRA,43924,,1944-12-05,29.5,Goalkeeper,Brazil,BRA
63905,Valdomiro,3,13,,,BRA,43924,,1946-02-17,28.3,Striker,Brazil,BRA
63908,Nelinho,1,14,,,BRA,43924,,1950-07-26,23.9,Defender,Brazil,BRA
174335,Alfredo,1,15,,,BRA,43924,,1946-10-18,27.7,Defender,Brazil,BRA
49315,Marco Antonio,1,16,,,BRA,43924,,1951-02-06,23.3,Defender,Brazil,BRA
174458,Carpegiani,2,17,,,BRA,43924,,1949-02-07,25.3,Midfielder,Brazil,BRA
63845,Ademir Da Guia,2,18,,,BRA,43924,,1942-04-03,32.2,Midfielder,Brazil,BRA
63907,Mirandinha,3,19,,,BRA,43924,,1952-02-26,22.3,Striker,Brazil,BRA
63893,Edu,3,20,,,BRA,43924,,1949-08-06,24.9,Striker,Brazil,BRA
63751,Dirceu,2,21,,,BRA,43924,,1952-06-15,22.0,Midfielder,Brazil,BRA
59772,Waldir Peres,0,22,,,BRA,43924,,1951-01-02,23.4,Goalkeeper,Brazil,BRA
50147,Rumen Goranov,0,1,,,BUL,43936,,1950-03-17,24.2,Goalkeeper,Bulgaria,BUL
60246,Ivan Zafirov,1,2,,,BUL,43936,,1947-12-30,26.5,Defender,Bulgaria,BUL
60309,Dobromir Jechev,1,3,,,BUL,43936,,1942-11-12,31.6,Defender,Bulgaria,BUL
59541,Stefan Velichkov,1,4,,,BUL,43936,,1949-02-15,25.3,Defender,Bulgaria,BUL
52341,Bozhil Kolev,2,5,,,BUL,43936,,1949-05-20,25.1,Midfielder,Bulgaria,BUL
76175,Dimitar Penev,1,6,,,BUL,43936,,1945-07-12,28.9,Defender,Bulgaria,BUL
59699,Voin Voinov,3,7,,,BUL,43936,,1952-09-07,21.8,Striker,Bulgaria,BUL
174414,Hristo Bonev,2,8,,,BUL,43936,,1947-02-03,27.4,Midfielder,Bulgaria,BUL
54188,Atanas Mikhailov,3,9,,,BUL,43936,,1949-07-05,24.9,Striker,Bulgaria,BUL
58458,Ivan Stoyanov,2,10,,,BUL,43936,,1949-01-20,25.4,Midfielder,Bulgaria,BUL
48423,Georgi Denev,3,11,,,BUL,43936,,1950-04-18,24.2,Striker,Bulgaria,BUL
45337,Stefan Aladzhov,1,12,,,BUL,43936,,1947-10-18,26.7,Defender,Bulgaria,BUL
59498,Mladen Vasilev,3,13,,,BUL,43936,,1947-07-29,26.9,Striker,Bulgaria,BUL
54231,Kiril Milanov,3,14,,,BUL,43936,,1948-10-17,25.7,Striker,Bulgaria,BUL
55881,Pavel Panov,3,15,,,BUL,43936,,1950-09-14,23.7,Striker,Bulgaria,BUL
50245,Bozhidar Grigorov,3,16,,,BUL,43936,,1945-07-27,28.9,Striker,Bulgaria,BUL
55162,Asparukh Nikodimov,1,17,,,BUL,43936,,1945-08-21,28.8,Defender,Bulgaria,BUL
59500,Tsonyo Vasilev,1,18,,,BUL,43936,,1952-01-07,22.4,Defender,Bulgaria,BUL
51342,Kiril Ivkov,1,19,,,BUL,43936,,1946-06-21,28.0,Defender,Bulgaria,BUL
46800,Krasimir Borisov,3,20,,,BUL,43936,,1950-04-08,24.2,Striker,Bulgaria,BUL
58366,Stefan Staikov,0,21,,,BUL,43936,,1949-10-03,24.7,Goalkeeper,Bulgaria,BUL
58050,Simeon Simeonov,0,22,,,BUL,43936,,1946-04-26,28.1,Goalkeeper,Bulgaria,BUL
59370,Leopoldo Vallejos,0,1,,,CHI,43925,,1944-07-16,29.9,Goalkeeper,Chile,CHI
49778,Rolando Garcia,1,2,,,CHI,43925,,1942-12-15,31.5,Defender,Chile,CHI
56531,Alberto Quintano,1,3,,,CHI,43925,,1946-04-26,28.1,Defender,Chile,CHI
45774,Antonio Arias,1,4,,,CHI,43925,,1944-10-09,29.7,Defender,Chile,CHI
49415,Elias Figueroa,1,5,,,CHI,43925,,1946-10-25,27.6,Defender,Chile,CHI
57021,Juan Rodriguez,1,6,,,CHI,43925,,1944-01-16,30.4,Defender,Chile,CHI
47407,Carlos Caszely,3,7,,,CHI,43925,,1950-07-05,23.9,Striker,Chile,CHI
59329,Francisco Valdes,2,8,,,CHI,43925,,1943-03-19,31.2,Midfielder,Chile,CHI
174914,Sergio Ahumada,3,9,,,CHI,43925,,1948-10-02,25.7,Striker,Chile,CHI
56790,Carlos Reinoso,2,10,,,CHI,43925,,1945-03-07,29.3,Midfielder,Chile,CHI
59542,Leonardo Veliz,3,11,,,CHI,43925,,1945-09-03,28.8,Striker,Chile,CHI
53352,Juan Machuca,1,12,,,CHI,43925,,1951-03-07,23.3,Defender,Chile,CHI
69576,Rafael Gonzalez,1,13,,,CHI,43925,,1950-04-24,24.1,Defender,Chile,CHI
52739,Alfonso Lara,2,14,,,CHI,43925,,1946-04-27,28.1,Midfielder,Chile,CHI
