id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1986,3,Group Matches,Group 2,1974-06-13,0,1,BRA,YUG,Brazil,Yugoslavia,0,0,,,,,,,,,Waldstadion,,,,
2003,1,Group Matches,Group 1,1974-06-14,0,1,FRG,CHI,Germany FR,Chile,1,0,,,FRG,,,,,,Olympiastadion,,,,
1955,2,Group Matches,Group 1,1974-06-14,0,1,GDR,AUS,German DR,Australia,2,0,,,GDR,,,,,,Volksparkstadion,,,,
2176,4,Group Matches,Group 2,1974-06-14,0,1,ZAI,SCO,Zaire,Scotland,0,2,,,SCO,,,,,,Westfalenstadion,,,,
1995,6,Group Matches,Group 3,1974-06-15,0,1,SWE,BUL,Sweden,Bulgaria,0,0,,,,,,,,,Rheinstadion,,,,
2098,5,Group Matches,Group 3,1974-06-15,0,1,URU,NED,Uruguay,Netherlands,0,2,,,NED,,,,,,Niedersachsenstadion,,,,
2083,7,Group Matches,Group 4,1974-06-15,0,1,ITA,HAI,Italy,Haiti,3,1,,,ITA,,,,,,Olympiastadion,,,,
1952,8,Group Matches,Group 4,1974-06-15,0,1,POL,ARG,Poland,Argentina,3,2,,,POL,,,,,,Neckarstadion,,,,
2186,11,Group Matches,Group 2,1974-06-18,0,1,YUG,ZAI,Yugoslavia,Zaire,9,0,,,YUG,,,,,,Parkstadion,,,,
1985,12,Group Matches,Group 2,1974-06-18,0,1,SCO,BRA,Scotland,Brazil,0,0,,,,,,,,,Waldstadion,,,,
1954,10,Group Matches,Group 1,1974-06-18,0,1,AUS,FRG,Australia,Germany FR,0,3,,,FRG,,,,,,Volksparkstadion,,,,
2004,9,Group Matches,Group 1,1974-06-18,0,1,CHI,GDR,Chile,German DR,1,1,,,,,,,,,Olympiastadion,,,,
2085,15,Group Matches,Group 4,1974-06-19,0,1,HAI,POL,Haiti,Poland,0,7,,,POL,,,,,,Olympiastadion,,,,
2097,13,Group Matches,Group 3,1974-06-19,0,1,NED,SWE,Netherlands,Sweden,0,0,,,,,,,,,Westfalenstadion,,,,
1996,14,Group Matches,Group 3,1974-06-19,0,1,BUL,URU,Bulgaria,Uruguay,1,1,,,,,,,,,Niedersachsenstadion,,,,
1949,16,Group Matches,Group 4,1974-06-19,0,1,ARG,ITA,Argentina,Italy,1,1,,,,,,,,,Neckarstadion,,,,
2062,18,Group Matches,Group 1,1974-06-22,0,1,GDR,FRG,German DR,Germany FR,1,0,,,GDR,,,,,,Volksparkstadion,,,,
1987,20,Group Matches,Group 2,1974-06-22,0,1,ZAI,BRA,Zaire,Brazil,0,3,,,BRA,,,,,,Parkstadion,,,,
1953,17,Group Matches,Group 1,1974-06-22,0,1,AUS,CHI,Australia,Chile,0,0,,,,,,,,,Olympiastadion,,,,
2175,19,Group Matches,Group 2,1974-06-22,0,1,SCO,YUG,Scotland,Yugoslavia,1,1,,,,,,,,,Waldstadion,,,,
1990,21,Group Matches,Group 3,1974-06-23,0,1,BUL,NED,Bulgaria,Netherlands,1,4,,,NED,,,,,,Westfalenstadion,,,,
2129,24,Group Matches,Group 4,1974-06-23,0,1,POL,ITA,Poland,Italy,2,1,,,POL,,,,,,Neckarstadion,,,,
2181,22,Group Matches,Group 3,1974-06-23,0,1,SWE,URU,Sweden,Uruguay,3,0,,,SWE,,,,,,Rheinstadion,,,,
1947,23,Group Matches,Group 4,1974-06-23,0,1,ARG,HAI,Argentina,Haiti,4,1,,,ARG,,,,,,Olympiastadion,,,,
2167,28,Second Round,Group B,1974-06-26,0,1,SWE,POL,Sweden,Poland,0,1,,,POL,,,,,,Neckarstadion,,,,
1948,26,Second Round,Group A,1974-06-26,0,1,NED,ARG,Netherlands,Argentina,4,0,,,NED,,,,,,Parkstadion,,,,
2066,27,Second Round,Group B,1974-06-26,0,1,YUG,FRG,Yugoslavia,Germany FR,0,2,,,FRG,,,,,,Rheinstadion,,,,
1982,25,Second Round,Group A,1974-06-26,0,1,BRA,GDR,Brazil,German DR,1,0,,,BRA,,,,,,Niedersachsenstadion,,,,
2170,32,Second Round,Group B,1974-06-30,0,1,POL,YUG,Poland,Yugoslavia,2,1,,,POL,,,,,,Waldstadion,,,,
2067,29,Second Round,Group A,1974-06-30,0,1,GDR,NED,German DR,Netherlands,0,2,,,NED,,,,,,Parkstadion,,,,
1945,30,Second Round,Group A,1974-06-30,0,1,ARG,BRA,Argentina,Brazil,1,2,,,BRA,,,,,,Niedersachsenstadion,,,,
2065,31,Second Round,Group B,1974-06-30,0,1,FRG,SWE,Germany FR,Sweden,4,2,,,FRG,,,,,,Rheinstadion,,,,
1983,34,Second Round,Group A,1974-07-03,0,1,NED,BRA,Netherlands,Brazil,2,0,,,NED,,,,,,Westfalenstadion,,,,
2064,35,Second Round,Group B,1974-07-03,0,1,POL,FRG,Poland,Germany FR,0,1,,,FRG,,,,,,Waldstadion,,,,
1946,33,Second Round,Group A,1974-07-03,0,1,ARG,GDR,Argentina,German DR,1,1,,,,,,,,,Parkstadion,,,,
2182,36,Second Round,Group B,1974-07-03,0,1,SWE,YUG,Sweden,Yugoslavia,2,1,,,SWE,,,,,,Rheinstadion,,,,
1984,37,Match for third place,,1974-07-06,0,1,BRA,POL,Brazil,Poland,0,1,,,POL,,,,,,Olympiastadion,,,,
2063,38,Final,,1974-07-07,0,1,NED,FRG,Netherlands,Germany FR,1,2,,,FRG,,,,,,Olympiastadion,,,,
