id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1986,3,Group Matches,Group 2,BRA,YUG,1974-06-13,15:00,1974-06-13,17:00
2003,1,Group Matches,Group 1,FRG,CHI,1974-06-14,14:00,1974-06-14,16:00
1955,2,Group Matches,Group 1,GDR,AUS,1974-06-14,17:30,1974-06-14,19:30
2176,4,Group Matches,Group 2,ZAI,SCO,1974-06-14,17:30,1974-06-14,19:30
1995,6,Group Matches,Group 3,SWE,BUL,1974-06-15,14:00,1974-06-15,16:00
2098,5,Group Matches,Group 3,URU,NED,1974-06-15,14:00,1974-06-15,16:00
2083,7,Group Matches,Group 4,ITA,HAI,1974-06-15,16:00,1974-06-15,18:00
1952,8,Group Matches,Group 4,POL,ARG,1974-06-15,16:00,1974-06-15,18:00
2186,11,Group Matches,Group 2,YUG,ZAI,1974-06-18,17:30,1974-06-18,19:30
1985,12,Group Matches,Group 2,SCO,BRA,1974-06-18,17:30,1974-06-18,19:30
1954,10,Group Matches,Group 1,AUS,FRG,1974-06-18,14:00,1974-06-18,16:00
2004,9,Group Matches,Group 1,CHI,GDR,1974-06-18,17:30,1974-06-18,19:30
2085,15,Group Matches,Group 4,HAI,POL,1974-06-19,17:30,1974-06-19,19:30
2097,13,Group Matches,Group 3,NED,SWE,1974-06-19,17:30,1974-06-19,19:30
1996,14,Group Matches,Group 3,BUL,URU,1974-06-19,17:30,1974-06-19,19:30
1949,16,Group Matches,Group 4,ARG,ITA,1974-06-19,17:30,1974-06-19,19:30
2062,18,Group Matches,Group 1,GDR,FRG,1974-06-22,17:30,1974-06-22,19:30
1987,20,Group Matches,Group 2,ZAI,BRA,1974-06-22,14:00,1974-06-22,16:00
1953,17,Group Matches,Group 1,AUS,CHI,1974-06-22,14:00,1974-06-22,16:00
2175,19,Group Matches,Group 2,SCO,YUG,1974-06-22,14:00,1974-06-22,16:00
1990,21,Group Matches,Group 3,BUL,NED,1974-06-23,14:00,1974-06-23,16:00
2129,24,Group Matches,Group 4,POL,ITA,1974-06-23,14:00,1974-06-23,16:00
2181,22,Group Matches,Group 3,SWE,URU,1974-06-23,14:00,1974-06-23,16:00
1947,23,Group Matches,Group 4,ARG,HAI,1974-06-23,14:00,1974-06-23,16:00
2167,28,Second Round,Group B,SWE,POL,1974-06-26,17:30,1974-06-26,19:30
1948,26,Second Round,Group A,NED,ARG,1974-06-26,17:30,1974-06-26,19:30
2066,27,Second Round,Group B,YUG,FRG,1974-06-26,14:00,1974-06-26,16:00
1982,25,Second Round,Group A,BRA,GDR,1974-06-26,17:30,1974-06-26,19:30
2170,32,Second Round,Group B,POL,YUG,1974-06-30,14:00,1974-06-30,16:00
2067,29,Second Round,Group A,GDR,NED,1974-06-30,14:00,1974-06-30,16:00
1945,30,Second Round,Group A,ARG,BRA,1974-06-30,14:00,1974-06-30,16:00
2065,31,Second Round,Group B,FRG,SWE,1974-06-30,17:30,1974-06-30,19:30
1983,34,Second Round,Group A,NED,BRA,1974-07-03,17:30,1974-07-03,19:30
2064,35,Second Round,Group B,POL,FRG,1974-07-03,15:00,1974-07-03,17:00
1946,33,Second Round,Group A,ARG,GDR,1974-07-03,17:30,1974-07-03,19:30
2182,36,Second Round,Group B,SWE,YUG,1974-07-03,17:30,1974-07-03,19:30
1984,37,Match for third place,,BRA,POL,1974-07-06,14:00,1974-07-06,16:00
2063,38,Final,,NED,FRG,1974-07-07,14:00,1974-07-07,16:00
