player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
162685,Joao Ricardo,0,1,76.0,180.0,ANG,43844,,1970-01-07,56.4,Goalkeeper,Angola,ANG
243130,Marco Airosa,1,2,75.0,178.0,ANG,43844,,1984-08-06,41.9,Defender,Angola,ANG
253600,Jamba,1,3,78.0,182.0,ANG,43844,,1977-07-10,48.9,Defender,Angola,ANG
217821,Lebo Lebo,1,4,79.0,187.0,ANG,43844,,1977-05-29,49.0,Defender,Angola,ANG
205054,Kali,1,5,80.0,187.0,ANG,43844,,1978-10-11,47.7,Defender,Angola,ANG
235880,Miloy,2,6,84.0,182.0,ANG,43844,,1981-05-27,45.0,Midfielder,Angola,ANG
205055,Figueiredo,2,7,77.0,170.0,ANG,43844,,1972-11-28,53.5,Midfielder,Angola,ANG
205056,Andre,2,8,72.0,175.0,ANG,43844,,1978-05-14,48.1,Midfielder,Angola,ANG
181565,Mantorras,3,9,77.0,178.0,ANG,43844,,1982-03-18,44.2,Striker,Angola,ANG
170066,Akwa,3,10,81.0,180.0,ANG,43844,,1977-05-30,49.0,Striker,Angola,ANG
252756,Mateus,2,11,72.0,174.0,ANG,43844,,1984-06-18,42.0,Midfielder,Angola,ANG
183238,Lama,0,12,93.0,187.0,ANG,43844,,1981-02-01,45.4,Goalkeeper,Angola,ANG
247077,Edson,2,13,69.0,175.0,ANG,43844,,1980-03-02,46.3,Midfielder,Angola,ANG
178780,Mendonca,2,14,70.0,172.0,ANG,43844,,1982-10-09,43.7,Midfielder,Angola,ANG
238731,Rui Marques,1,15,79.0,185.0,ANG,43844,,1977-09-03,48.8,Defender,Angola,ANG
198046,Flavio,3,16,87.0,175.0,ANG,43844,,1979-12-30,46.5,Striker,Angola,ANG
214617,Ze Kalanga,2,17,70.0,175.0,ANG,43844,,1983-10-12,42.7,Midfielder,Angola,ANG
181569,Love,3,18,78.0,178.0,ANG,43844,,1979-03-14,47.3,Striker,Angola,ANG
249300,Andre Titi Buengo,3,19,87.0,189.0,ANG,43844,,1980-02-11,46.3,Striker,Angola,ANG
209201,Loco,1,20,79.0,180.0,ANG,43844,,1984-12-25,41.5,Defender,Angola,ANG
176992,Delgado,1,21,78.0,178.0,ANG,43844,,1979-11-01,46.6,Defender,Angola,ANG
253515,Mario,0,22,80.0,184.0,ANG,43844,,1985-06-01,41.0,Goalkeeper,Angola,ANG
238284,Marco Abreu,1,23,79.0,180.0,ANG,43844,,1974-12-08,51.5,Defender,Angola,ANG
153929,Roberto Abbondanzieri,0,1,91.0,186.0,ARG,43922,,1972-08-19,53.8,Goalkeeper,Argentina,ARG
153933,Roberto Ayala,1,2,75.0,177.0,ARG,43922,,1973-04-14,53.2,Defender,Argentina,ARG
153977,Juan Sorin,1,3,65.0,173.0,ARG,43922,,1976-05-05,50.1,Defender,Argentina,ARG
181445,Fabricio Coloccini,1,4,78.0,183.0,ARG,43922,,1982-01-22,44.4,Defender,Argentina,ARG
183574,Esteban Cambiasso,2,5,78.0,177.0,ARG,43922,,1980-08-18,45.8,Midfielder,Argentina,ARG
201964,Gabriel Heinze,1,6,78.0,178.0,ARG,43922,,1978-04-19,48.2,Defender,Argentina,ARG
178837,Javier Saviola,3,7,64.0,169.0,ARG,43922,,1981-12-11,44.5,Striker,Argentina,ARG
182372,Javier Mascherano,2,8,73.0,174.0,ARG,43922,,1984-06-08,42.0,Midfielder,Argentina,ARG
162680,Hernan Crespo,3,9,78.0,184.0,ARG,43922,,1975-07-05,50.9,Striker,Argentina,ARG
166380,Juan Riquelme,2,10,75.0,182.0,ARG,43922,,1978-06-24,48.0,Midfielder,Argentina,ARG
182373,Carlos Tevez,3,11,79.0,171.0,ARG,43922,,1984-02-05,42.4,Striker,Argentina,ARG
193986,Leonardo Franco,0,12,79.0,188.0,ARG,43922,,1977-05-20,49.1,Goalkeeper,Argentina,ARG
183380,Lionel Scaloni,1,13,80.0,182.0,ARG,43922,,1978-05-16,48.1,Defender,Argentina,ARG
