id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
97410001,1,First stage,Group A,2006-06-09,0,1,GER,CRC,Germany,Costa Rica,4,2,,,GER,,,,,,Allianz Arena,,,,
97410002,2,First stage,Group A,2006-06-09,0,1,POL,ECU,Poland,Ecuador,0,2,,,ECU,,,,,,"FIFA World Cup Stadium, Gelsenkirchen",,,,
97410003,3,First stage,Group B,2006-06-10,0,1,ENG,PAR,England,Paraguay,1,0,,,ENG,,,,,,Commerzbank Arena,,,,
97410004,4,First stage,Group B,2006-06-10,0,1,TRI,SWE,Trinidad and Tobago,Sweden,0,0,,,,,,,,,Signal-Iduna-Park,,,,
97410005,5,First stage,Group C,2006-06-10,0,1,ARG,CIV,Argentina,Côte d'Ivoire,2,1,,,ARG,,,,,,Volksparkstadion,,,,
97410006,6,First stage,Group C,2006-06-11,0,1,SCG,NED,Serbia and Montenegro,Netherlands,0,1,,,NED,,,,,,Zentralstadion,,,,
97410007,7,First stage,Group D,2006-06-11,0,1,MEX,IRN,Mexico,IR Iran,3,1,,,MEX,,,,,,Frankenstadion,,,,
97410008,8,First stage,Group D,2006-06-11,0,1,ANG,POR,Angola,Portugal,0,1,,,POR,,,,,,Rhein Energie Stadium,,,,
97410012,12,First stage,Group F,2006-06-12,0,1,AUS,JPN,Australia,Japan,3,1,,,AUS,,,,,,Fritz-Walter-Stadion,,,,
97410010,10,First stage,Group E,2006-06-12,0,1,USA,CZE,USA,Czechia,0,3,,,CZE,,,,,,"FIFA World Cup Stadium, Gelsenkirchen",,,,
97410009,9,First stage,Group E,2006-06-12,0,1,ITA,GHA,Italy,Ghana,2,0,,,ITA,,,,,,HDI-Arena,,,,
97410014,14,First stage,Group G,2006-06-13,0,1,KOR,TOG,Korea Republic,Togo,2,1,,,KOR,,,,,,Commerzbank Arena,,,,
97410013,13,First stage,Group G,2006-06-13,0,1,FRA,SUI,France,Switzerland,0,0,,,,,,,,,Mercedes-Benz Arena,,,,
97410011,11,First stage,Group F,2006-06-13,0,1,BRA,CRO,Brazil,Croatia,1,0,,,BRA,,,,,,Olympiastadion,,,,
97410017,17,First stage,Group A,2006-06-14,0,1,GER,POL,Germany,Poland,1,0,,,GER,,,,,,Signal-Iduna-Park,,,,
97410015,15,First stage,Group H,2006-06-14,0,1,ESP,UKR,Spain,Ukraine,4,0,,,ESP,,,,,,Zentralstadion,,,,
97410016,16,First stage,Group H,2006-06-14,0,1,TUN,KSA,Tunisia,Saudi Arabia,2,2,,,,,,,,,Allianz Arena,,,,
97410018,18,First stage,Group A,2006-06-15,0,1,ECU,CRC,Ecuador,Costa Rica,3,0,,,ECU,,,,,,Volksparkstadion,,,,
97410019,19,First stage,Group B,2006-06-15,0,1,ENG,TRI,England,Trinidad and Tobago,2,0,,,ENG,,,,,,Frankenstadion,,,,
