year,id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1934,1106,12.0,Quarter-final,,1934-05-31,0,1,AUT,HUN,Austria,Hungary,2.0,1.0,,,AUT,,,,,,Littorale,,,,
1934,1122,11.0,Quarter-final,,1934-05-31,0,3,ITA,ESP,Italy,Spain,1.0,1.0,,,,,,,,,Giovanni Berta,,,,
1934,1123,13.0,Quarter-final,,1934-06-01,0,1,ITA,ESP,Italy,Spain,1.0,0.0,,,ITA,,,,,,Giovanni Berta,,,,
1934,1107,14.0,Semi-final,,1934-06-03,0,1,ITA,AUT,Italy,Austria,1.0,0.0,,,ITA,,,,,,Stadio Giuseppe Meazza,,,,
1934,1130,15.0,Semi-final,,1934-06-03,0,1,TCH,GER,Czechoslovakia,Germany,3.0,1.0,,,TCH,,,,,,Nazionale PNF,,,,
1934,1105,16.0,Match for third place,,1934-06-07,0,1,GER,AUT,Germany,Austria,3.0,2.0,,,GER,,,,,,Giorgio Ascarelli,,,,
1934,1134,17.0,Final,,1934-06-10,0,3,ITA,TCH,Italy,Czechoslovakia,2.0,1.0,,,ITA,,,,,,Nazionale PNF,,,,
1938,1165,1.0,1st Round,,1938-06-04,0,3,SUI,GER,Switzerland,Germany,1.0,1.0,,,,,,,,,Parc des Princes,,,,
1938,1173,2.0,1st Round,,1938-06-05,0,1,HUN,INH,Hungary,Dutch East Indies,6.0,0.0,,,HUN,,,,,,Velodrome Municipale,,,,
1938,1146,3.0,1st Round,,1938-06-05,0,1,FRA,BEL,France,Belgium,3.0,1.0,,,FRA,,,,,,Stade Olympique,,,,
1938,1179,5.0,1st Round,,1938-06-05,0,3,ITA,NOR,Italy,Norway,2.0,1.0,,,ITA,,,,,,Stade Vélodrome,,,,
1938,1156,4.0,1st Round,,1938-06-05,0,3,CUB,ROU,Cuba,Romania,3.0,3.0,,,,,,,,,Stade de Toulouse,,,,
1938,1150,6.0,1st Round,,1938-06-05,0,3,BRA,POL,Brazil,Poland,6.0,5.0,,,BRA,,,,,,Stade de la Meinau,,,,
1938,1172,7.0,1st Round,,1938-06-05,0,3,TCH,NED,Czechoslovakia,Netherlands,3.0,0.0,,,TCH,,,,,,Cavee Verte,,,,
1938,1166,9.0,1st Round,,1938-06-09,0,1,SUI,GER,Switzerland,Germany,4.0,2.0,,,SUI,,,,,,Parc des Princes,,,,
1938,1157,8.0,1st Round,,1938-06-09,0,1,CUB,ROU,Cuba,Romania,2.0,1.0,,,CUB,,,,,,Stade de Toulouse,,,,
