year,teams,players,schedule,results
1930,13,245,18,18
1934,16,321,17,17
1938,15,316,18,18
1950,13,270,22,22
1954,16,350,26,26
1958,16,351,35,35
1962,16,352,32,32
1966,16,352,32,32
1970,16,349,32,32
1974,16,352,38,38
1978,16,352,38,38
1982,24,526,52,52
1986,24,528,52,52
1990,24,530,52,52
1994,24,528,52,52
1998,32,705,64,64
2002,32,736,64,64
2006,32,736,64,64
2010,32,736,64,64
2014,32,739,64,64
2018,32,736,64,64
2022,32,831,64,64
2026,48,1248,104,104
