id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
3049,1,Group Matches,Group C,1994-06-17,0,1,GER,BOL,Germany,Bolivia,1,0,,,GER,,,,,,Soldier Field,,,,
3050,2,Group Matches,Group C,1994-06-18,0,1,ESP,KOR,Spain,Korea Republic,2,2,,,,,,,,,Cotton Bowl,,,,
3051,3,Group Matches,Group A,1994-06-18,0,1,USA,SUI,USA,Switzerland,1,1,,,,,,,,,Pontiac Silverdome,,,,
3052,4,Group Matches,Group E,1994-06-18,0,1,ITA,IRL,Italy,Republic of Ireland,0,1,,,IRL,,,,,,Giants Stadium,,,,
3053,5,Group Matches,Group A,1994-06-19,0,1,COL,ROU,Colombia,Romania,1,3,,,ROU,,,,,,Rose Bowl,,,,
3054,6,Group Matches,Group F,1994-06-19,0,1,BEL,MAR,Belgium,Morocco,1,0,,,BEL,,,,,,Citrus Bowl,,,,
3055,7,Group Matches,Group E,1994-06-19,0,1,NOR,MEX,Norway,Mexico,1,0,,,NOR,,,,,,RFK Stadium,,,,
3056,8,Group Matches,Group B,1994-06-20,0,1,CMR,SWE,Cameroon,Sweden,2,2,,,,,,,,,Rose Bowl,,,,
3057,9,Group Matches,Group B,1994-06-20,0,1,BRA,RUS,Brazil,Russia,2,0,,,BRA,,,,,,Stanford Stadium,,,,
3058,10,Group Matches,Group F,1994-06-20,0,1,NED,KSA,Netherlands,Saudi Arabia,2,1,,,NED,,,,,,RFK Stadium,,,,
3060,12,Group Matches,Group C,1994-06-21,0,1,GER,ESP,Germany,Spain,1,1,,,,,,,,,Soldier Field,,,,
3059,11,Group Matches,Group D,1994-06-21,0,1,ARG,GRE,Argentina,Greece,4,0,,,ARG,,,,,,Foxboro Stadium,,,,
3061,13,Group Matches,Group D,1994-06-22,0,1,NGA,BUL,Nigeria,Bulgaria,3,0,,,NGA,,,,,,Cotton Bowl,,,,
3062,14,Group Matches,Group A,1994-06-22,0,1,ROU,SUI,Romania,Switzerland,1,4,,,SUI,,,,,,Pontiac Silverdome,,,,
3063,15,Group Matches,Group A,1994-06-23,0,1,USA,COL,USA,Colombia,2,1,,,USA,,,,,,Rose Bowl,,,,
3064,16,Group Matches,Group E,1994-06-23,0,1,ITA,NOR,Italy,Norway,1,0,,,ITA,,,,,,Giants Stadium,,,,
3065,17,Group Matches,Group C,1994-06-23,0,1,KOR,BOL,Korea Republic,Bolivia,0,0,,,,,,,,,Foxboro Stadium,,,,
